Species,T,Nu,,Species,T,Nu
a.gal1.s,-1.41,0.1194356992,,a.gal10.n,-1.41,0.006320645309
a.gal1.s,-1.4,0.1195321529,,a.gal10.n,-1.4,0.006338599076
a.gal1.s,-1.39,0.1196286546,,a.gal10.n,-1.39,0.006356598502
a.gal1.s,-1.38,0.1197252043,,a.gal10.n,-1.38,0.006374643686
a.gal1.s,-1.37,0.1198218019,,a.gal10.n,-1.37,0.006392734729
a.gal1.s,-1.36,0.1199184475,,a.gal10.n,-1.36,0.00641087173
a.gal1.s,-1.35,0.1200151411,,a.gal10.n,-1.35,0.006429054789
a.gal1.s,-1.34,0.1201118826,,a.gal10.n,-1.34,0.006447284006
a.gal1.s,-1.33,0.120208672,,a.gal10.n,-1.33,0.006465559481
a.gal1.s,-1.32,0.1203055094,,a.gal10.n,-1.32,0.006483881315
a.gal1.s,-1.31,0.1204023946,,a.gal10.n,-1.31,0.006502249608
a.gal1.s,-1.3,0.1204993278,,a.gal10.n,-1.3,0.00652066446
a.gal1.s,-1.29,0.1205963088,,a.gal10.n,-1.29,0.006539125973
a.gal1.s,-1.28,0.1206933377,,a.gal10.n,-1.28,0.006557634249
a.gal1.s,-1.27,0.1207904145,,a.gal10.n,-1.27,0.006576189387
a.gal1.s,-1.26,0.1208875391,,a.gal10.n,-1.26,0.006594791489
a.gal1.s,-1.25,0.1209847116,,a.gal10.n,-1.25,0.006613440658
a.gal1.s,-1.24,0.121081932,,a.gal10.n,-1.24,0.006632136994
a.gal1.s,-1.23,0.1211792001,,a.gal10.n,-1.23,0.006650880599
a.gal1.s,-1.22,0.1212765161,,a.gal10.n,-1.22,0.006669671577
a.gal1.s,-1.21,0.1213738799,,a.gal10.n,-1.21,0.006688510028
a.gal1.s,-1.2,0.1214712915,,a.gal10.n,-1.2,0.006707396056
a.gal1.s,-1.19,0.1215687509,,a.gal10.n,-1.19,0.006726329762
a.gal1.s,-1.18,0.121666258,,a.gal10.n,-1.18,0.00674531125
a.gal1.s,-1.17,0.121763813,,a.gal10.n,-1.17,0.006764340623
a.gal1.s,-1.16,0.1218614156,,a.gal10.n,-1.16,0.006783417983
a.gal1.s,-1.15,0.1219590661,,a.gal10.n,-1.15,0.006802543434
a.gal1.s,-1.14,0.1220567642,,a.gal10.n,-1.14,0.006821717079
a.gal1.s,-1.13,0.1221545101,,a.gal10.n,-1.13,0.006840939022
a.gal1.s,-1.12,0.1222523037,,a.gal10.n,-1.12,0.006860209367
a.gal1.s,-1.11,0.122350145,,a.gal10.n,-1.11,0.006879528217
a.gal1.s,-1.1,0.122448034,,a.gal10.n,-1.1,0.006898895677
a.gal1.s,-1.09,0.1225459707,,a.gal10.n,-1.09,0.006918311851
a.gal1.s,-1.08,0.122643955,,a.gal10.n,-1.08,0.006937776843
a.gal1.s,-1.07,0.122741987,,a.gal10.n,-1.07,0.006957290759
a.gal1.s,-1.06,0.1228400667,,a.gal10.n,-1.06,0.006976853702
a.gal1.s,-1.05,0.122938194,,a.gal10.n,-1.05,0.006996465777
a.gal1.s,-1.04,0.1230363689,,a.gal10.n,-1.04,0.007016127091
a.gal1.s,-1.03,0.1231345915,,a.gal10.n,-1.03,0.007035837748
a.gal1.s,-1.02,0.1232328616,,a.gal10.n,-1.02,0.007055597853
a.gal1.s,-1.01,0.1233311793,,a.gal10.n,-1.01,0.007075407513
a.gal1.s,-1,0.1234295447,,a.gal10.n,-1,0.007095266833
a.gal1.s,-0.99,0.1235279575,,a.gal10.n,-0.99,0.007115175918
a.gal1.s,-0.98,0.123626418,,a.gal10.n,-0.98,0.007135134876
a.gal1.s,-0.97,0.123724926,,a.gal10.n,-0.97,0.007155143813
a.gal1.s,-0.96,0.1238234815,,a.gal10.n,-0.96,0.007175202835
a.gal1.s,-0.95,0.1239220846,,a.gal10.n,-0.95,0.007195312048
a.gal1.s,-0.94,0.1240207352,,a.gal10.n,-0.94,0.00721547156
a.gal1.s,-0.93,0.1241194333,,a.gal10.n,-0.93,0.007235681477
a.gal1.s,-0.92,0.1242181788,,a.gal10.n,-0.92,0.007255941908
a.gal1.s,-0.91,0.1243169719,,a.gal10.n,-0.91,0.007276252958
a.gal1.s,-0.9,0.1244158124,,a.gal10.n,-0.9,0.007296614736
a.gal1.s,-0.89,0.1245147004,,a.gal10.n,-0.89,0.007317027349
a.gal1.s,-0.88,0.1246136358,,a.gal10.n,-0.88,0.007337490906
a.gal1.s,-0.87,0.1247126186,,a.gal10.n,-0.87,0.007358005514
a.gal1.s,-0.86,0.1248116489,,a.gal10.n,-0.86,0.007378571282
a.gal1.s,-0.85,0.1249107266,,a.gal10.n,-0.85,0.007399188317
a.gal1.s,-0.84,0.1250098517,,a.gal10.n,-0.84,0.007419856729
a.gal1.s,-0.83,0.1251090241,,a.gal10.n,-0.83,0.007440576626
a.gal1.s,-0.82,0.125208244,,a.gal10.n,-0.82,0.007461348118
a.gal1.s,-0.81,0.1253075112,,a.gal10.n,-0.81,0.007482171312
a.gal1.s,-0.8,0.1254068257,,a.gal10.n,-0.8,0.00750304632
a.gal1.s,-0.79,0.1255061876,,a.gal10.n,-0.79,0.007523973249
a.gal1.s,-0.78,0.1256055968,,a.gal10.n,-0.78,0.00754495221
a.gal1.s,-0.77,0.1257050534,,a.gal10.n,-0.77,0.007565983312
a.gal1.s,-0.76,0.1258045572,,a.gal10.n,-0.76,0.007587066666
a.gal1.s,-0.75,0.1259041083,,a.gal10.n,-0.75,0.007608202381
a.gal1.s,-0.74,0.1260037067,,a.gal10.n,-0.74,0.007629390568
a.gal1.s,-0.73,0.1261033523,,a.gal10.n,-0.73,0.007650631338
a.gal1.s,-0.72,0.1262030452,,a.gal10.n,-0.72,0.0076719248
a.gal1.s,-0.71,0.1263027854,,a.gal10.n,-0.71,0.007693271066
a.gal1.s,-0.7,0.1264025727,,a.gal10.n,-0.7,0.007714670247
a.gal1.s,-0.69,0.1265024073,,a.gal10.n,-0.69,0.007736122455
a.gal1.s,-0.68,0.1266022891,,a.gal10.n,-0.68,0.007757627799
a.gal1.s,-0.67,0.126702218,,a.gal10.n,-0.67,0.007779186393
a.gal1.s,-0.66,0.1268021942,,a.gal10.n,-0.66,0.007800798347
