Species,psi,Nu,,Species,psi,Nu
a.gal1.s,-0.45,0.2039204873,,a.gal10.n,-0.45,0.2480138497
a.gal1.s,-0.46,0.2133459389,,a.gal10.n,-0.46,0.2678117754
a.gal1.s,-0.47,0.2227162332,,a.gal10.n,-0.47,0.2877658777
a.gal1.s,-0.48,0.2319981984,,a.gal10.n,-0.48,0.3077260177
a.gal1.s,-0.49,0.2411595624,,a.gal10.n,-0.49,0.3275417081
a.gal1.s,-0.5,0.2501692837,,a.gal10.n,-0.5,0.3470654677
a.gal1.s,-0.51,0.2589978623,,a.gal10.n,-0.51,0.3661560654
a.gal1.s,-0.52,0.2676176223,,a.gal10.n,-0.52,0.3846815326
a.gal1.s,-0.53,0.2760029647,,a.gal10.n,-0.53,0.4025218393
a.gal1.s,-0.54,0.2841305847,,a.gal10.n,-0.54,0.4195711423
a.gal1.s,-0.55,0.2919796507,,a.gal10.n,-0.55,0.4357395373
a.gal1.s,-0.56,0.299531944,,a.gal10.n,-0.56,0.4509542723
a.gal1.s,-0.57,0.3067719573,,a.gal10.n,-0.57,0.4651604005
a.gal1.s,-0.58,0.3136869512,,a.gal10.n,-0.58,0.4783208824
a.gal1.s,-0.59,0.3202669707,,a.gal10.n,-0.59,0.4904161643
a.gal1.s,-0.6,0.3265048219,,a.gal10.n,-0.6,0.5014432855
a.gal1.s,-0.61,0.3323960112,,a.gal10.n,-0.61,0.5114145807
a.gal1.s,-0.62,0.3379386514,,a.gal10.n,-0.62,0.5203560571
a.gal1.s,-0.63,0.3431333353,,a.gal10.n,-0.63,0.5283055324
a.gal1.s,-0.64,0.3479829833,,a.gal10.n,-0.64,0.5353106233
a.gal1.s,-0.65,0.3524926684,,a.gal10.n,-0.65,0.5414266693
a.gal1.s,-0.66,0.3566694217,,a.gal10.n,-0.66,0.5467146732
a.gal1.s,-0.67,0.3605220257,,a.gal10.n,-0.67,0.5512393272
a.gal1.s,-0.68,0.3640607964,,a.gal10.n,-0.68,0.5550671841
a.gal1.s,-0.69,0.3672973622,,a.gal10.n,-0.69,0.5582650181
a.gal1.s,-0.7,0.3702444408,,a.gal10.n,-0.7,0.5608984061
a.gal1.s,-0.71,0.37291562,,a.gal10.n,-0.71,0.5630305479
a.gal1.s,-0.72,0.375325144,,a.gal10.n,-0.72,0.5647213297
a.gal1.s,-0.73,0.3774877109,,a.gal10.n,-0.73,0.5660266268
a.gal1.s,-0.74,0.3794182807,,a.gal10.n,-0.74,0.5669978291
a.gal1.s,-0.75,0.381131899,,a.gal10.n,-0.75,0.5676815702
a.gal1.s,-0.76,0.3826435357,,a.gal10.n,-0.76,0.568119633
a.gal1.s,-0.77,0.3839679413,,a.gal10.n,-0.77,0.5683490036
a.gal1.s,-0.78,0.3851195208,,a.gal10.n,-0.78,0.5684020441
a.gal1.s,-0.79,0.3861122259,,a.gal10.n,-0.79,0.5683067566
a.gal1.s,-0.8,0.3869594647,,a.gal10.n,-0.8,0.5680871102
a.gal1.s,-0.81,0.3876740293,,a.gal10.n,-0.81,0.5677634081
a.gal1.s,-0.82,0.3882680395,,a.gal10.n,-0.82,0.5673526746
a.gal1.s,-0.83,0.3887529026,,a.gal10.n,-0.83,0.5668690441
a.gal1.s,-0.84,0.3891392876,,a.gal10.n,-0.84,0.5663241392
a.gal1.s,-0.85,0.389437112,,a.gal10.n,-0.85,0.5657274281
a.gal1.s,-0.86,0.3896555411,,a.gal10.n,-0.86,0.5650865542
a.gal1.s,-0.87,0.3898029965,,a.gal10.n,-0.87,0.5644076336
a.gal1.s,-0.88,0.389887174,,a.gal10.n,-0.88,0.5636955196
a.gal1.s,-0.89,0.389915068,,a.gal10.n,-0.89,0.5629540324
a.gal1.s,-0.9,0.3898930024,,a.gal10.n,-0.9,0.5621861565
a.gal1.s,-0.91,0.3898266654,,a.gal10.n,-0.91,0.5613942079
a.gal1.s,-0.92,0.389721148,,a.gal10.n,-0.92,0.5605799731
a.gal1.s,-0.93,0.3895809839,,a.gal10.n,-0.93,0.5597448238
