arid_wp1,arid_wp2,arid_wp3,arid_wp4,arid_wp5
a.gal10.n,-0.45,,,0.2480138497
a.gal10.n,-0.46,,,0.2678117754
a.gal10.n,-0.47,,,0.2877658777
a.gal10.n,-0.48,,,0.3077260177
a.gal10.n,-0.49,,,0.3275417081
a.gal10.n,-0.5,,,0.3470654677
a.gal10.n,-0.51,,,0.3661560654
a.gal10.n,-0.52,,,0.3846815326
a.gal10.n,-0.53,,,0.4025218393
a.gal10.n,-0.54,,,0.4195711423
a.gal10.n,-0.55,,,0.4357395373
a.gal10.n,-0.56,,,0.4509542723
a.gal10.n,-0.57,,,0.4651604005
a.gal10.n,-0.58,,,0.4783208824
a.gal10.n,-0.59,,,0.4904161643
a.gal10.n,-0.6,,,0.5014432855
a.gal10.n,-0.61,,,0.5114145807
a.gal10.n,-0.62,,,0.5203560571
a.gal10.n,-0.63,,,0.5283055324
a.gal10.n,-0.64,,,0.5353106233
a.gal10.n,-0.65,,,0.5414266693
a.gal10.n,-0.66,,,0.5467146732
a.gal10.n,-0.67,,,0.5512393272
a.gal10.n,-0.68,,,0.5550671841
a.gal10.n,-0.69,,,0.5582650181
a.gal10.n,-0.7,,,0.5608984061
a.gal10.n,-0.71,,,0.5630305479
a.gal10.n,-0.72,,,0.5647213297
a.gal10.n,-0.73,,,0.5660266268
a.gal10.n,-0.74,,,0.5669978291
a.gal10.n,-0.75,,,0.5676815702
a.gal10.n,-0.76,,,0.568119633
a.gal10.n,-0.77,,,0.5683490036
a.gal10.n,-0.78,,,0.5684020441
a.gal10.n,-0.79,,,0.5683067566
a.gal10.n,-0.8,,,0.5680871102
a.gal10.n,-0.81,,,0.5677634081
a.gal10.n,-0.82,,,0.5673526746
a.gal10.n,-0.83,,,0.5668690441
a.gal10.n,-0.84,,,0.5663241392
a.gal10.n,-0.85,,,0.5657274281
a.gal10.n,-0.86,,,0.5650865542
a.gal10.n,-0.87,,,0.5644076336
a.gal10.n,-0.88,,,0.5636955196
a.gal10.n,-0.89,,,0.5629540324
a.gal10.n,-0.9,,,0.5621861565
a.gal10.n,-0.91,,,0.5613942079
a.gal10.n,-0.92,,,0.5605799731
a.gal10.n,-0.93,,,0.5597448238
a.gal10.n,-0.94,,,0.5588898098
a.gal10.n,-0.95,,,0.5580157339
